"Concepto","Year","AAPL","KO","MELI","PFE","TM"
"Cash & Short Term Investments","2024",65171,14571,9184,20477,60066.9
"Cash & Short Term Investments","2023",61555,13663,7328,12690,62189.43
"Cash & Short Term Investments","2022",48304,11631,5702,22732,56480.32
"Cash & Short Term Investments","2021",62639,12625,4457.48,31069,50369.97
"Cash & Short Term Investments","2020",90979,10914,3749.53,12223,46161.6
"Cash & Short Term Investments","2019",100580,11175,3048.66,9646,37964.43
"Cash & Short Term Investments","2018",66301,16115,926.24,18833,52655.88
"Cash & Short Term Investments","2017",74181,20675,597.69,20006,53802.28
"Cash & Short Term Investments","2016",67155,22201,487.46,17850,52942
"Short Term Receivables","2024",66243,3569,10409,11463,102644.77
"Short Term Receivables","2023",60985,3410,6522,11566,98870.69
"Short Term Receivables","2022",60932,3487,4907,10952,90800.51
"Short Term Receivables","2021",51506,3512,3302.63,11479,86410.58
"Short Term Receivables","2020",37445,3144,1376.34,7913,88935.65
"Short Term Receivables","2019",45804,3971,672.8,6772,88069.78
"Short Term Receivables","2018",48995,3685,491.23,8025,86630.18
"Short Term Receivables","2017",35673,3667,622.71,8221,85164.14
"Short Term Receivables","2016",29299,3856,359.77,8225,78519.73
"Inventories","2024",7286,4728,348,10851,30749.18
"Inventories","2023",6331,4424,298,10189,30429.6
"Inventories","2022",4946,4233,178,8981,31975.46
"Inventories","2021",6580,3414,268.53,9059,31483.88
"Inventories","2020",4061,3266,139.66,8020,26136
"Inventories","2019",4106,3379,8.63,7068,23471.74
"Inventories","2018",3956,3071,4.61,7508,23999.6
"Inventories","2017",4855,2655,2.55,7578,23881.42
"Inventories","2016",2132,2675,1.1,6783,21436.03
"Other Current Assets","2024",14287,3129,201,7567,54490.72
"Other Current Assets","2023",14695,5235,112,8888,37882.1
"Other Current Assets","2022",21223,3240,166,8594,19554.89
"Other Current Assets","2021",14111,2994,146.33,8086,27181.83
"Other Current Assets","2020",11228,1916,81.28,6910,44891.65
"Other Current Assets","2019",12329,1886,58.76,9317,26153.55
"Other Current Assets","2018",12087,2059,89.05,15560,7281.6
"Other Current Assets","2017",13936,9548,63.97,5336,7840.04
"Other Current Assets","2016",8283,5278,21.12,6091,7146.16
"Total Current Assets","2024",152987,25997,20142,50358,247951.56
"Total Current Assets","2023",143566,26732,14260,43333,229371.83
"Total Current Assets","2022",135405,22591,10953,51259,198811.19
"Total Current Assets","2021",134836,22545,8174.98,59693,195446.26
"Total Current Assets","2020",143713,19240,5346.81,35067,206124.89
"Total Current Assets","2019",162819,20411,3788.86,32803,175659.49
"Total Current Assets","2018",131339,24930,1511.12,49926,170567.26
"Total Current Assets","2017",128645,36545,1286.92,41141,170687.88
"Total Current Assets","2016",106869,34010,869.46,38949,160043.93
"Net Property, Plant & Equipment","2024",55914,11485,2478,20682,106438.15
"Net Property, Plant & Equipment","2023",54376,10564,2149,21864,97727.86
"Net Property, Plant & Equipment","2022",52534,11247,1649,19276,98620.05
"Net Property, Plant & Equipment","2021",49527,11338,1268.54,17721,105252.75
"Net Property, Plant & Equipment","2020",45336,12325,694.9,15131,106799.07
