"Concepto","Year","AAPL","KO","MELI","PFE","TM"
"Net Income","TTM",97294,10799,1900.97,7912,31332.43
"Net Income","2024",93736,10649,1911,8062,31418.46
"Net Income","2023",96995,10703,987,2158,35071.51
"Net Income","2022",99803,9571,482,31401,18395.92
"Net Income","2021",94680,9804,83.3,22025,25581.08
"Net Income","2020",57411,7768,-0.71,9195,21520.22
"Net Income","2019",55256,8985,-172,16302,19416.97
"Net Income","2018",59531,6476,-36.59,11188,16052.7
"Net Income","2017",48351,1182,13.78,21355,23333.48
"Depreciation","TTM",11502,1080,583.33,6895,14726.56
"Depreciation","2024",11445,1075,617,7013,14766.99
"Depreciation","2023",11519,1128,524,6290,14433.14
"Depreciation","2022",11104,1260,403,5064,15052.7
"Depreciation","2021",11284,1452,203.94,5191,16212.84
"Depreciation","2020",11056,1536,104.99,4681,15503.77
"Depreciation","2019",12547,1365,73.32,5795,14673.13
"Depreciation","2018",10903,1086,45.79,6384,16162.86
"Depreciation","2017",10157,1260,40.92,6269,15645.54
"Other Funds (Non Cash)","TTM",9727,849,2545.5,3154,-3457.24
"Other Funds (Non Cash)","2024",9422,1326,2442,2837,-3466.73
"Other Funds (Non Cash)","2023",8606,616,2118,5866,7079.58
"Other Funds (Non Cash)","2022",9149,914,1741,4982,-555.75
"Other Funds (Non Cash)","2021",7759,-850,707.59,-3147,1395.27
"Other Funds (Non Cash)","2020",6732,-132,375.75,2409,-1281.81
"Other Funds (Non Cash)","2019",5416,35,178.39,-6152,106.33
"Other Funds (Non Cash)","2018",4896,1718,48.99,1387,2997.85
"Other Funds (Non Cash)","2017",4674,2280,165.99,-9746,-3190.34
"Funds from Operations","TTM",118523,12985,4812.16,15637,42601.74
"Funds from Operations","2024",114603,13039,4727,15810,42718.72
"Funds from Operations","2023",117120,12445,3345,10872,56584.22
"Funds from Operations","2022",120951,11623,2529,37683,32892.87
"Funds from Operations","2021",108949,11300,965.36,19776,43189.17
"Funds from Operations","2020",74984,9154,409.72,14710,35742.18
"Funds from Operations","2019",72879,10105,96.17,16541,34196.43
"Funds from Operations","2018",42740,8867,-34.39,16754,34432.55
"Funds from Operations","2017",69148,3466,196.12,15468,33641.65
"Extraordinary Item","TTM",0,0,0,0,0
"Extraordinary Item","2024",0,0,0,0,0
"Extraordinary Item","2023",0,0,0,0,0
"Extraordinary Item","2022",0,0,0,0,0
"Extraordinary Item","2021",0,0,0,0,0
"Extraordinary Item","2020",0,0,0,0,0
"Extraordinary Item","2019",0,0,0,0,0
"Extraordinary Item","2018",0,0,0,0,0
"Extraordinary Item","2017",0,0,0,0,0
"Changes in Working Capital","TTM",-8967,-11910,1055.36,-1649,-18418.06
"Changes in Working Capital","2024",3651,-6234,1978,-3066,-18468.63
"Changes in Working Capital","2023",-6577,-846,1102,-2172,-27494.97
"Changes in Working Capital","2022",1200,-605,411,-4456,-11087
"Changes in Working Capital","2021",-4911,1325,-0.31,12804,-10061.76
"Changes in Working Capital","2020",5690,690,772.83,-307,-10028.17
"Changes in Working Capital","2019",-3488,366,354.92,-3953,-12136.38
"Changes in Working Capital","2018",34694,-1240,265.3,-927,-467.01
"Changes in Working Capital","2017",-5550,3019,72.89,1334,4343.71
"Cash from Operating Activities","TTM",109556,1075,5867.52,13988,24183.68
"Cash from Operating Activities","2024",118254,6805,6705,12744,24250.08
"Cash from Operating Activities","2023",110543,11599,4447,8700,29089.25
"Cash from Operating Activities","2022",122151,11018,2940,33227,21805.87
"Cash from Operating Activities","2021",104038,12625,965.04,32580,33127.4
"Cash from Operating Activities","2020",80674,9844,1182.55,14403,25714.01
"Cash from Operating Activities","2019",69391,10471,451.09,12588,22060.05
"Cash from Operating Activities","2018",77434,7627,230.91,15827,33965.54
"Cash from Operating Activities","2017",63598,6485,269.01,16802,37985.36
"Capital Expenditures","TTM",-11070,-2003,-913.98,-2769,-34395
"Capital Expenditures","2024",-9447,-2064,-860,-2909,-34489.43
"Capital Expenditures","2023",-10959,-1852,-509,-3907,-34912.27
"Capital Expenditures","2022",-10708,-1484,-455,-3236,-27345.79
"Capital Expenditures","2021",-11085,-1367,-609.5,-2711,-34085.19
"Capital Expenditures","2020",-7309,-1177,-247.14,-2226,-35527.4
"Capital Expenditures","2019",-10495,-2054,-136.87,-2490,-34458.95
"Capital Expenditures","2018",-13313,-1548,-97.75,-2196,-35941.29
"Capital Expenditures","2017",-12795,-1675,-74.88,-2217,-32469.8
"Net Assets From Acquisitions","TTM",0,-349,-5.5,0,0
"Net Assets From Acquisitions","2024",0,-315,-6,0,0
"Net Assets From Acquisitions","2023",0,-62,0,-43430,0
"Net Assets From Acquisitions","2022",-306,-73,0,-22997,0
"Net Assets From Acquisitions","2021",-33,-4766,-50.62,0,0
"Net Assets From Acquisitions","2020",-1524,-1052,-6.94,0,0
"Net Assets From Acquisitions","2019",-624,-5542,0,-10861,0
"Net Assets From Acquisitions","2018",-721,-1263,-4.2,0,0
"Net Assets From Acquisitions","2017",-329,-3809,-8.57,-1000,-5.2
"Sale of Fixed Assets and Businesses","TTM",0,1374,0,0,11635.59
