"","2024FY","2023FY","2022FY","2021FY","2020FY","2019FY","2018FY","2017FY","2016FY"
"Cash & Short Term Investments",65171,61555,48304,62639,90979,100580,66301,74181,67155
"Short Term Receivables",66243,60985,60932,51506,37445,45804,48995,35673,29299
"Inventories",7286,6331,4946,6580,4061,4106,3956,4855,2132
"Other Current Assets",14287,14695,21223,14111,11228,12329,12087,13936,8283
"Total Current Assets",152987,143566,135405,134836,143713,162819,131339,128645,106869
"Net Property, Plant & Equipment",55914,54376,52534,49527,45336,37378,41304,33783,27010
"Total Investments and Advances",91479,100544,120805,127877,102624,106698,170799,194714,170430
"Intangible Assets",NA,NA,NA,NA,NA,NA,NA,8015,8620
"Deferred Tax Assets",19499,NA,NA,NA,NA,NA,NA,NA,NA
"Other Assets",45101,54097,44011,38762,32215,31621,22283,10162,8757
"Total Assets",364980,352583,352755,351002,323888,338516,365725,375319,321686
"Short Term Debt Incl. Current Port. of LT Debt",22511,17382,22773,17141,15229,16240,20748,18473,11605
"Accounts Payable",68960,62611,64115,54763,42296,46236,55888,49049,37294
"Income Tax Payable",26601,NA,NA,NA,NA,NA,NA,NA,NA
"Other Current Liabilities",58320,65315,67094,53577,47867,43242,40230,33292,30107
"Total Current Liabilities",176392,145308,153982,125481,105392,105718,116866,100814,79006
"Long Term Debt",96548,106548,109707,119381,107049,91807,93735,97207,75427
"Provision for Risks Charges",9254,15457,16657,24689,28170,29545,33589,0,0
"Deferred Tax Liabilities",NA,19454,16758,16977,17875,16919,11520,39911,34719
"Other Liabilities",25836,3670,4979,1384,63,4039,2868,3340,4285
"Total Liabilities",308030,290437,302083,287912,258549,248028,258578,241272,193437
"Non-Equity Reserves",0,0,0,0,0,0,0,0,0
"Preferred Stock - Carrying Value",0,0,0,0,0,0,0,0,0
"Common Equity",56950,62146,50672,63090,65339,90488,107147,134047,128249
"Total Shareholders Equity",56950,62146,50672,63090,65339,90488,107147,134047,128249
"Accumulated Minority Interest",0,0,0,0,0,0,0,0,0
"Total Equity",56950,62146,50672,63090,65339,90488,107147,134047,128249
"Total Liabilities & Stockholders Equity",364980,352583,352755,351002,323888,338516,365725,375319,321686
"Book Value Per Share",3.77,4,3.18,3.84,3.85,5.09,5.63,6.54,6.01
"Tangible Book Value Per Share",3.77,4,3.18,3.84,3.85,5.09,5.63,6.15,5.6
"Full-Time Employees",164000,161000,164000,154000,147000,137000,132000,123000,116000
"Price to Book Ratio",47.76,51.98,44.45,39.47,36.79,27.05,10.28,9.51,6.02
"Return on Assets",26.13,27.5,28.36,28.06,17.33,15.69,16.07,13.87,14.93
"Return on Equity",157.41,171.95,175.46,147.44,73.69,55.92,49.36,36.87,36.9
"Return on Invested Capital",61.07,57.5,62.23,51.89,33.3,30.31,29.63,20.91,22.43
"Quick Ratio",0.83,0.94,0.85,1.02,1.33,1.5,1.09,1.23,1.33
"Current Ratio",0.87,0.99,0.88,1.07,1.36,1.54,1.12,1.28,1.35
